770,Damodar Daesrath,95,
771,Jeremy Gordon,7,
772,Darren Ramsammy,0,
773, Zeeshan Siddiqi,50,
774,Nikhil Dutta,–,
775, Raza-ur-Rehman,225,
776,Rayyan Pathan,2,
777,Kenneth Kamyuka,2,
778,Frasat Ali,0,
779,Harilal Shah,0,
780,Jawahir Shah,0,
781,Hamish McLeod,0,
782,Mehmood Quaraishy,0,
783,John Nagenda,0,
784,Parbhu Nana,1,
785,Ramesh Sethi,0,
786,Shiraz Sumar,0,
787,Samuel Walusimbi,0,
788,Zulfiqar Ali,1,
789,Praful Mehta,0,
790,Donald Pringle,0,
791,Yunus Badat,0,
792,Geoffrey Boycott,"1,082",
793,Colin Cowdrey,1,
794,Basil D'Oliveira,30,
795,John Edrich,223,
796,Keith Fletcher,757,
797,John Hampshire,48,
798,Ray Illingworth,5,
799,Alan Knott,200,
800,Peter Lever,17,
801,Ken Shuttleworth,7,
802,John Snow,9,
803,Dennis Amiss,859,
804,Geoff Arnold,48,
805,Brian Close,49,
806,Tony Greig,269,
807,Bob Woolmer,21,
808,Barry Wood,314,
809,Frank Hayes,128,
810,Graham Roope,173,
811,Derek Underwood,53,
812,Mike Denness,264,
813,Mike Hendrick,6,
814,Chris Old,338,
815,Mike Smith,70,
816,Bob Taylor,130,
817,Bob Willis,83,
818,John Jameson,60,
819,David Lloyd,285,
820,Robin Jackman,54,
821,Brian Luckhurst,15,
822,Fred Titmus,11,
823,Graham Barlow,149,
824,Ian Botham,"2,113",
825,Graham Gooch,"4,290",
826,John Lever,56,
827,David Steele,8,
828,Derek Randall,"1,067",
829,Mike Brearley,510,
830,Peter Willey,538,
831,Geoff Miller,136,
832,Paul Downton,242,
833,Phil Edmonds,116,
834,Mike Gatting,"2,095",
835,Brian Rose,99,
836,Geoff Cope,1,
837,David Gower,"3,170",
838,Clive Radley,250,
839,Roger Tolchard,–,
840,David Bairstow,206,
841,Wayne Larkins,591,
842,Graham Dilley,114,
843,John Emburey,501,
844,Graham Stevenson,43,
845,Chris Tavaré,720,
846,Vic Marks,285,
847,Bill Athey,848,
848,Alan Butcher,14,
849,Roland Butcher,58,
850,Geoff Humpage,11,
851,Jim Love,61,
852,Geoff Cook,106,
853,Jack Richards,154,
854,Paul Allott,15,
855,Allan Lamb,"4,010",
856,Eddie Hemmings,30,
857,Derek Pringle,425,
858,Norman Cowans,13,
859,Trevor Jesty,127,
860,Ian Gould,155,
861,Graeme Fowler,744,
862,Neil Foster,150,
863,Chris Smith,109,
864,Nick Cook,–,
865,Andy Lloyd,101,
866,Richard Ellison,86,
867,Tim Robinson,597,
868,Jonathan Agnew,2,
869,Chris Cowdrey,51,
870,Martyn Moxon,174,
871,Bruce French,34,
872,Norman Gifford,0,
873,Colin Wells,22,
874,Rob Bailey,137,
875,Pat Pocock,4,
876,Les Taylor,1,
877,Greg Thomas,1,
878,Wilf Slack,43,
879,David Smith,15,
880,Mark Benson,24,
881,Chris Broad,"1,361",
882,Phillip DeFreitas,690,
883,Gladstone Small,98,
884,David Capel,327,
885,Neil Fairbrother,"2,092",
886,James Whitaker,48,
887,Jack Russell,423,
888,Paul Jarvis,31,
889,Neal Radford,0,
890,Monte Lynch,8,
891,Kim Barnett,84,
892,Robin Smith,"2,419",
893,Steve Rhodes,107,
894,Angus Fraser,141,
895,Alec Stewart,"4,677",
896,Nasser Hussain,"2,332",
897,Chris Lewis,374,
898,Devon Malcolm,9,
899,Michael Atherton,"1,791",
900,John Morris,167,
901,Martin Bicknell,96,
902,Phil Tufnell,15,
903,Graeme Hick,"3,846",
904,Richard Illingworth,68,
